,source,band,zbound,zvalue
296,../1024/data/frame_00841,B7,zmin,0.008766833589374653
297,../1024/data/frame_00841,B7,zmax,0.8356879545129179
298,../1024/data/frame_00841,B8,zmin,-0.009408099395472885
299,../1024/data/frame_00841,B8,zmax,0.09552434507217451
300,../1024/data/frame_00842,B3,zmin,13.02305793762207
301,../1024/data/frame_00842,B3,zmax,115.64744517865965
302,../1024/data/frame_00842,B4,zmin,46.815303802490234
303,../1024/data/frame_00842,B4,zmax,321.9470608793442
304,../1024/data/frame_00842,B5,zmin,1057.1225081578004
305,../1024/data/frame_00842,B5,zmax,4214.346933968764
306,../1024/data/frame_00842,B6,zmin,24.81742193936442
307,../1024/data/frame_00842,B6,zmax,171.44007943595352
308,../1024/data/frame_00842,B7,zmin,0.002314528685080692
309,../1024/data/frame_00842,B7,zmax,0.09329081885416951
310,../1024/data/frame_00842,B8,zmin,-0.005648691981555075
311,../1024/data/frame_00842,B8,zmax,0.005204411689016645
312,../1024/data/frame_00843,B3,zmin,15.891791343688965
313,../1024/data/frame_00843,B3,zmax,245.79859049071774
314,../1024/data/frame_00843,B4,zmin,58.442108154296875
315,../1024/data/frame_00843,B4,zmax,763.8500107890482
316,../1024/data/frame_00843,B5,zmin,1232.696226214739
317,../1024/data/frame_00843,B5,zmax,6932.5253739309965
318,../1024/data/frame_00843,B6,zmin,35.10067877830593
319,../1024/data/frame_00843,B6,zmax,144.7667965352743
320,../1024/data/frame_00843,B7,zmin,0.007274029343872092
321,../1024/data/frame_00843,B7,zmax,0.6536525115884384
322,../1024/data/frame_00843,B8,zmin,-0.007783227719406365
323,../1024/data/frame_00843,B8,zmax,0.08420533689010909
324,../1024/data/frame_00844,B3,zmin,7.861997604370117
325,../1024/data/frame_00844,B3,zmax,186.2420873271809
326,../1024/data/frame_00844,B4,zmin,29.512767791748047
327,../1024/data/frame_00844,B4,zmax,487.19010744708197
328,../1024/data/frame_00844,B5,zmin,955.5891438942571
329,../1024/data/frame_00844,B5,zmax,6018.742536424801
330,../1024/data/frame_00844,B6,zmin,26.391060637481424
331,../1024/data/frame_00844,B6,zmax,303.5546165792286
332,../1024/data/frame_00844,B7,zmin,0.0022941144770805798
333,../1024/data/frame_00844,B7,zmax,0.2723567485154279
334,../1024/data/frame_00844,B8,zmin,-0.007808620858945483
335,../1024/data/frame_00844,B8,zmax,0.08084996560007814
336,../1024/data/frame_00845,B3,zmin,14.323079109191895
337,../1024/data/frame_00845,B3,zmax,149.8224919103152
338,../1024/data/frame_00845,B4,zmin,48.935218811035156
339,../1024/data/frame_00845,B4,zmax,396.1391120417987
